         ps   /tdc_tb/tdc/dm_inst/out_mod      
             /tdc_tb/tdc/dm_inst/out_signal    
   90285000                             1 0 
   90385000                             1 1 
   90485000                             1 0 
   90585000                             1 1 
   90685000                             1 0 
   90785000                             1 1 
   90885000                             1 0 
   90985000                             1 1 
   91085000                             1 0 
   91185000                             1 1 
   91285000                             1 0 
   91385000                             1 1 
   91485000                             1 0 
   91585000                             1 1 
   91685000                             1 0 
   91785000                             1 1 
   91885000                             1 0 
   91985000                             1 1 
   92085000                             1 0 
   92185000                             1 1 
   92285000                             1 0 
   92385000                             1 1 
   92485000                             1 0 
   92585000                             1 1 
   92685000                             1 0 
   92785000                             1 1 
   92885000                             1 0 
   92985000                             1 1 
   93085000                             1 0 
   93185000                             1 1 
   93285000                             1 0 
   93385000                             1 1 
   93485000                             1 0 
   93585000                             1 1 
   93685000                             1 0 
   93785000                             1 1 
   93885000                             1 0 
   93985000                             1 1 
   94085000                             1 0 
   94185000                             1 1 
   94285000                             1 0 
   94385000                             1 1 
   94485000                             1 0 
   94585000                             1 1 
   94685000                             1 0 
   94785000                             1 1 
   94885000                             1 0 
   94985000                             1 1 
   95085000                             1 0 
   95185000                             1 1 
   95285000                             1 0 
   95385000                             1 1 
   95485000                             1 0 
   95585000                             1 1 
   95685000                             1 0 
   95785000                             1 1 
   95885000                             1 0 
   95985000                             1 1 
   96085000                             1 0 
   96185000                             1 1 
   96285000                             1 0 
   96385000                             1 1 
   96485000                             1 0 
   96585000                             1 1 
   96685000                             1 0 
   96785000                             1 1 
   96885000                             1 0 
   96985000                             1 1 
   97085000                             1 0 
   97185000                             1 1 
   97285000                             1 0 
   97385000                             1 1 
   97485000                             1 0 
   97585000                             1 1 
   97685000                             1 0 
   97785000                             1 1 
   97885000                             1 0 
   97985000                             1 1 
   98085000                             1 0 
   98185000                             1 1 
   98285000                             1 0 
   98385000                             1 1 
   98485000                             1 0 
   98585000                             1 1 
   98685000                             1 0 
   98785000                             1 1 
   98885000                             1 0 
   98985000                             1 1 
   99085000                             1 0 
   99185000                             1 1 
   99285000                             1 0 
   99385000                             1 1 
   99485000                             1 0 
   99585000                             1 1 
   99685000                             1 0 
   99785000                             1 1 
   99885000                             1 0 
   99985000                             1 1 
  100085000                             1 0 
  100165000                             0 0 
  100185000                             0 1 
  100285000                             0 0 
  100385000                             0 1 
  100485000                             0 0 
  100585000                             0 1 
  100685000                             0 0 
  100785000                             0 1 
  100885000                             0 0 
  100985000                             0 1 
  101085000                             0 0 
  101185000                             0 1 
  101285000                             0 0 
  101385000                             0 1 
  101485000                             0 0 
  101585000                             0 1 
  101685000                             0 0 
  101785000                             0 1 
  101885000                             0 0 
  101985000                             0 1 
  102085000                             0 0 
  102185000                             0 1 
  102285000                             0 0 
  102385000                             0 1 
  102485000                             0 0 
  102585000                             0 1 
  102685000                             0 0 
  102785000                             0 1 
  102885000                             0 0 
  102985000                             0 1 
  103085000                             0 0 
  103185000                             0 1 
  103285000                             0 0 
  103385000                             0 1 
  103485000                             0 0 
  103585000                             0 1 
  103685000                             0 0 
  103785000                             0 1 
  103885000                             0 0 
  103985000                             0 1 
  104085000                             0 0 
  104185000                             0 1 
  104285000                             0 0 
  104385000                             0 1 
  104485000                             0 0 
  104585000                             0 1 
  104685000                             0 0 
  104785000                             0 1 
  104885000                             0 0 
  104985000                             0 1 
  105085000                             0 0 
  105185000                             0 1 
  105285000                             0 0 
  105385000                             0 1 
  105485000                             0 0 
  105585000                             0 1 
  105685000                             0 0 
  105785000                             0 1 
  105885000                             0 0 
  105985000                             0 1 
  106085000                             0 0 
  106185000                             0 1 
  106285000                             0 0 
  106385000                             0 1 
  106485000                             0 0 
  106585000                             0 1 
  106685000                             0 0 
  106785000                             0 1 
  106885000                             0 0 
  106985000                             0 1 
  107085000                             0 0 
  107185000                             0 1 
  107285000                             0 0 
  107385000                             0 1 
  107485000                             0 0 
  107585000                             0 1 
  107685000                             0 0 
  107785000                             0 1 
  107885000                             0 0 
  107985000                             0 1 
  108085000                             0 0 
  108185000                             0 1 
  108285000                             0 0 
  108385000                             0 1 
  108485000                             0 0 
  108585000                             0 1 
  108685000                             0 0 
  108785000                             0 1 
  108885000                             0 0 
  108985000                             0 1 
  109085000                             0 0 
  109185000                             0 1 
  109285000                             0 0 
  109385000                             0 1 
  109485000                             0 0 
  109585000                             0 1 
  109685000                             0 0 
  109785000                             0 1 
  109885000                             0 0 
  109985000                             0 1 
  110085000                             0 0 
  110185000                             0 1 
  110285000                             0 0 
  110385000                             0 1 
  110485000                             0 0 
  110585000                             0 1 
  110685000                             0 0 
  110785000                             0 1 
  110885000                             0 0 
  110985000                             0 1 
  111085000                             0 0 
  111185000                             0 1 
  111285000                             0 0 
  111385000                             0 1 
  111485000                             0 0 
  111585000                             0 1 
  111685000                             0 0 
  111785000                             0 1 
  111885000                             0 0 
  111985000                             0 1 
  112085000                             0 0 
  112185000                             0 1 
  112285000                             0 0 
  112385000                             0 1 
  112485000                             0 0 
  112585000                             0 1 
  112685000                             0 0 
  112785000                             0 1 
  112885000                             0 0 
  112985000                             0 1 
  113085000                             0 0 
  113185000                             0 1 
  113285000                             0 0 
  113385000                             0 1 
  113485000                             0 0 
  113585000                             0 1 
  113685000                             0 0 
  113785000                             0 1 
  113885000                             0 0 
  113985000                             0 1 
  114085000                             0 0 
  114185000                             0 1 
  114285000                             0 0 
  114385000                             0 1 
  114485000                             0 0 
  114585000                             0 1 
  114685000                             0 0 
  114785000                             0 1 
  114885000                             0 0 
  114985000                             0 1 
  115085000                             0 0 
  115185000                             0 1 
  115285000                             0 0 
  115385000                             0 1 
  115485000                             0 0 
  115585000                             0 1 
  115685000                             0 0 
  115785000                             0 1 
  115885000                             0 0 
  115985000                             0 1 
  116085000                             0 0 
  116185000                             0 1 
  116285000                             0 0 
  116385000                             0 1 
  116485000                             0 0 
  116585000                             0 1 
  116685000                             0 0 
  116785000                             0 1 
  116885000                             0 0 
  116985000                             0 1 
  117085000                             0 0 
  117185000                             0 1 
  117285000                             0 0 
  117385000                             0 1 
  117485000                             0 0 
  117585000                             0 1 
  117685000                             0 0 
  117785000                             0 1 
  117885000                             0 0 
  117985000                             0 1 
  118085000                             0 0 
  118185000                             0 1 
  118285000                             0 0 
  118385000                             0 1 
  118485000                             0 0 
  118585000                             0 1 
  118685000                             0 0 
  118785000                             0 1 
  118885000                             0 0 
  118985000                             0 1 
  119085000                             0 0 
  119185000                             0 1 
  119285000                             0 0 
  119385000                             0 1 
  119485000                             0 0 
  119585000                             0 1 
  119685000                             0 0 
  119785000                             0 1 
  119885000                             0 0 
  119985000                             0 1 
  120085000                             0 0 
  120185000                             0 1 
  120285000                             0 0 
  120385000                             0 1 
